,PMID,DOI,PMCID,DOI2,PMCID2,PMCID3,DOI3
0,1315666,,,0197-2456(92)90031-T,none,none,10.1016/0197-2456(92)90031-t
1,1316830,,,0197-2456(92)90021-Q,none,none,10.1016/0197-2456(92)90021-q
2,1415137,,,10.1093/oxfordjournals.aje.a116480,none,,
3,1456336,,1694535,none,PMC1694535,none,10.2105/ajph.82.12.1621
4,1519841,,,10.1164/ajrccm/146.3.644,none,,
5,1526025,,,,,,
6,1536331,,1694439,none,PMC1694439,none,10.2105/ajph.82.1.33
7,1549006,,,,,,
8,1570801,,,10.1093/ajcn/55.5.943,none,,
9,1580246,,,10.1093/oxfordjournals.aje.a116349,none,,
10,1739373,,,,,,
11,1851696,,,10.1016/0197-2456(91)90002-4,none,,
12,1884448,,,10.1161/01.cir.84.3.1176,none,,
13,1918764,,,,,,
14,1951168,,,10.1093/ajcn/54.5.930,none,,
15,1969463,,,0895-4356(90)90050-Y,none,none,10.1016/0895-4356(90)90050-y
16,1983903,,,10.1093/oxfordjournals.aje.a115807,none,,
17,1989788,,,S0012-3692(16)48830-6,none,none,10.1378/chest.99.2.315
18,2011649,,,10.1097/00006842-199101000-00004,none,,
19,2031493,10.1093/ajcn/53.6.1604S,,10.1093/ajcn/53.6.1604S,none,,
20,2037862,,,0895-4356(91)90221-T,none,none,10.1016/0895-4356(91)90221-t
21,2063831,,,10.1093/oxfordjournals.aje.a115835,none,,
22,2084017,,,10.1093/ije/19.4.889,none,,
23,2188641,,,10.1161/01.atv.10.3.430,none,,
24,2193307,,,10.1016/0091-7435(90)90017-e,none,,
25,2200851,,,0895-4356(90)90240-P,none,none,10.1016/0895-4356(90)90240-p
26,2204367,,,,,,
27,2204915,,,10.1016/0091-7435(90)90045-l,none,,
28,2273523,,,10.1007/BF00844831,none,,
29,2382740,,1404871,none,PMC1404871,none,10.2105/ajph.80.9.1053
30,2683750,,,10.1093/oxfordjournals.aje.a115424,none,,
31,2759681,,,10.1161/01.hyp.14.2.218,none,,
32,2783079,,,10.1161/01.atv.9.5.656,none,,
33,3204420,,,0895-4356(88)90080-7,none,none,10.1016/0895-4356(88)90080-7
34,3261566,,,,,,
35,3440391,,,0197-2456(87)90008-0,none,none,10.1016/0197-2456(87)90008-0
36,7485047,,,10.1093/oxfordjournals.aje.a117555,none,,
37,7485815,,,10.1111/j.1530-0277.1995.tb00987.x,none,,
38,7502103,,,0277953694003857,none,none,10.1016/0277-9536(94)00385-7
39,7580711,,2551059,none,PMC2551059,none,10.1136/bmj.311.7013.1139
40,7634452,,,10.1161/01.cir.92.3.380,none,,
41,7641357,,,10.1161/01.cir.92.4.785,none,,
42,7722583,,,0895-4356(94)90166-X,none,none,10.1016/0895-4356(94)90166-x
43,7742729,,,,,,
44,7797754,,,073510979500118J,none,none,10.1016/0735-1097(95)00118-j
45,7830019,,1060043,none,PMC1060043,none,10.1136/jech.48.6.604
46,7872189,,,0002-8703(95)90287-2,none,none,10.1016/0002-8703(95)90287-2
47,7884094,,,0735-1097(94)00469-7,none,none,10.1016/0735-1097(94)00469-7
48,7897300,,,,,,
49,7921312,,,1047-2797(93)90087-K,none,none,10.1016/1047-2797(93)90087-k
50,7965210,10.1093/jn/124.suppl_11.2245s,,10.1093/jn/124.suppl_11.2245s,none,,
51,7980844,,,10.1093/oxfordjournals.aje.a117311,none,,
52,7981840,,,1047-2797(94)90067-1,none,none,10.1016/1047-2797(94)90067-1
53,8003274,,,0895-7061(94)90104-X,none,none,10.1093/ajh/7.3.234
54,8021418,,,0002-8223(94)91944-5,none,none,10.1016/0002-8223(94)91944-5
55,8081431,,,,,,
56,8172846,,,10.1161/01.atv.14.5.686,none,,
57,8196117,,,,,,
58,8213754,,,10.1093/oxfordjournals.aje.a116884,none,,
59,8229103,,,0895-4356(93)90090-N,none,none,10.1016/0895-4356(93)90090-n
60,8266905,,,10.1093/oxfordjournals.aje.a116821,none,,
61,8318505,,,10.1161/01.atv.13.7.1037,none,,
62,8371651,,,,,,
63,8389336,,,,,,
64,8404773,,,S0013-9351(83)71124-2,none,none,10.1006/enrs.1993.1124
65,8416117,,1403434,none,PMC1403434,,
66,8466495,,,S0006-291X(83)71343-4,none,none,10.1006/bbrc.1993.1343
67,8520711,,,1047-2797(94)00095-B,none,none,10.1016/1047-2797(94)00095-b
68,8598425,,,10.1080/07315724.1995.10718553,none,,
69,8604777,,1380547,none,PMC1380547,none,10.2105/ajph.86.4.480
70,8610688,,,10.1093/oxfordjournals.aje.a008816,none,,
71,8611277,,,S0894-7317(05)80001-X,none,none,10.1016/s0894-7317(05)80001-x
72,8611278,,,S0894-7317(05)80002-1,none,none,10.1016/s0894-7317(05)80002-1
73,8616942,,,10.1161/01.cir.93.1.60,none,,
74,8633619,,,10.1093/oxfordjournals.aje.a008749,none,,
75,8686692,,,10.1093/oxfordjournals.aje.a008918,none,,
76,8686693,,,10.1093/oxfordjournals.aje.a008919,none,,
77,8727231,,,10.1111/j.1530-0277.1996.tb01069.x,none,,
78,8759809,,,S0002914996002822,none,none,10.1016/s0002-9149(96)00282-2
79,8775596,,,1047-2797(95)00135-2,none,none,10.1016/1047-2797(95)00135-2
80,8788322,,,,,,
81,8827159,,,1047279796000051,none,none,10.1016/1047-2797(96)00005-1
82,8827799,,,10.1097/00006842-199607000-00009,none,,
83,8876504,,1380646,none,PMC1380646,none,10.2105/ajph.86.10.1370
84,8879349,,,S0895706196001495,none,none,10.1016/s0895-7061(96)00149-5
85,8946271,,,10.1177/174182679600300410,none,,
86,9003130,,1380726,none,PMC1380726,none,10.2105/ajph.86.12.1736
87,9006307,,,10.1093/oxfordjournals.aje.a009081,none,,
88,9012637,,,10.1161/01.atv.17.1.51,none,,
89,9017509,,,,,,
90,9024231,,,10.1210/jcem.82.2.3732,none,,
91,9031018,,,10.2190/HPB8-5M2N-VK6X-0FWN,none,,
92,9146443,,1380844,none,PMC1380844,none,10.2105/ajph.87.4.629
93,9146444,,1380845,none,PMC1380845,none,10.2105/ajph.87.4.635
94,9245672,,,S0091743597901511,none,none,10.1006/pmed.1997.0151
95,9286933,,,10.1161/01.cir.96.4.1082,none,,
96,9308507,,,,,,
97,9321742,,,10.1097/00004872-199715090-00005,none,,
98,9326433,,,10.1093/oxfordjournals.aje.a009314,none,,
